Image_metric,fid_g1,fid_g2,fid_g3,fid_g4,fid_g5,fid_g6
alpha_1,-4.36673911932507,-27.4372711842476,0.213762163184843,0.0487864813995287,0.164962633782801,0.00664143327958281
alpha_2,49.3430254620896,59.7055489892691,66.5008899825048,69.6369154087124,69.720347598787,69.3191661021593
alpha_3,53.392499661738,72.8825743669404,67.1103742288212,70.3928308479884,70.4561893949254,70.1260488150007
alpha_4,66.406390947098,64.7679175769974,80.6518046421108,83.1110482268067,83.2067179203808,82.8331627964421
alpha_5,52.1997752936546,60.4658359367417,32.6640037319951,34.3684551279895,34.4724571638434,35.8822952514488
alpha_6,64.2367548187747,41.6066172717636,35.768972323259,32.8175119184731,32.9896543719412,33.6513529247644
