Image_metric,fid_g1,fid_g2,fid_g3,fid_g4,fid_g5,fid_g6
alpha_1,-3.06669787458463,-25.6563480312216,-0.742981944953634,-0.152533431097637,0.177612743335696,0.00335384561875967
alpha_2,47.2859884492847,56.3532102513397,63.588951704978,66.2924853273691,66.7638656673035,65.9734047140518
alpha_3,51.2231630920042,69.9095236903505,66.0169080222196,68.7346080780846,69.2099180018111,68.4456107674768
alpha_4,60.1241473002068,57.299947000362,72.4608675790978,74.7195747288409,75.1559331076481,74.525127872598
alpha_5,48.1002539126693,57.3007953759751,33.3629003038151,34.4592430506135,35.0861329903589,36.2279091037069
alpha_6,54.2722367616641,34.9801604439113,29.8136985354659,27.9452989538504,28.124302775626,28.679976913487
