Image_metric,fid_g1,fid_g2,fid_g3,fid_g4,fid_g5,fid_g6
alpha_1,46.397909514782,-23.667546241738,0.337679971307066,0.292719167904903,0.261208177486294,0.0298713941691858
alpha_2,92.3566242401044,109.461321803918,113.648100147986,113.747185711401,113.747559442899,112.696358227669
alpha_3,60.4193344954673,113.191685599382,104.826595735982,104.806825419842,104.823787726727,103.973272485774
alpha_4,132.10078312703,112.592119525097,126.100832127953,126.175915696142,126.161801820658,125.312053883144
alpha_5,52.539421104313,77.4804606074321,39.4947743764949,40.9161800460752,40.9921499479308,45.7500923141687
alpha_6,117.729276523249,56.8494761182179,38.3383641991683,39.5855481625633,39.6516874236205,41.9841286005653
